,brand,price,processor,CPU,Ram,ROM,GPU,display_size,OS,warranty
390,5,105739,61.0,8,16,1000,4.0,15.6,0,1
391,2,45500,28.0,18,8,512,2.0,15.6,0,1
392,5,50760,108.0,28,16,512,17.0,15.6,0,1
393,5,49990,108.0,28,16,512,17.0,14.0,0,1
394,5,33199,105.0,28,8,512,17.0,14.0,0,1
395,5,70990,95.0,24,16,512,10.0,15.6,0,1
396,1,64990,110.0,19,8,512,10.0,15.6,0,1
397,5,59990,109.0,19,16,512,17.0,16.0,0,1
398,5,88990,113.0,24,16,512,17.0,14.0,0,1
399,5,44990,108.0,28,8,512,17.0,15.6,0,1
400,0,77990,115.0,24,16,1000,17.0,13.3,0,1
401,5,70990,113.0,24,16,512,17.0,16.0,0,1
402,2,55990,87.0,19,8,512,14.0,15.6,0,1
403,21,43999,22.0,28,16,512,2.0,15.6,0,1
404,1,37990,108.0,28,8,512,46.0,15.6,0,1
405,0,64990,87.0,19,16,512,10.0,15.6,0,1
406,2,32990,137.0,28,8,512,12.0,15.6,0,1
407,6,179490,54.0,6,16,1000,3.0,16.0,0,1
408,10,56990,34.0,6,16,512,4.0,15.6,7,1
409,0,56990,,19,8,512,14.0,16.1,0,1
410,5,34990,27.0,17,8,512,2.0,15.6,0,1
411,0,83249,34.0,6,16,512,4.0,14.0,0,1
412,4,57990,31.0,1,16,512,2.0,14.0,0,1
413,0,85490,30.0,4,16,512,4.0,13.4,0,1
414,4,55890,31.0,1,8,512,3.0,15.6,0,1
415,5,40689,29.0,1,8,512,2.0,15.6,0,1
416,1,48990,31.0,1,16,512,67.0,15.6,0,1
417,0,66648,31.0,1,16,512,9.0,14.0,0,1
418,1,36990,28.0,18,8,512,8.0,15.6,0,1
419,22,74990,34.0,6,16,512,70.0,15.6,0,2
420,2,144990,40.0,8,32,1000,71.0,16.0,0,1
421,4,118499,25.0,28,16,512,3.0,14.0,4,3
422,2,35490,86.0,19,8,512,12.0,15.6,0,1
423,2,62889,94.0,24,16,512,50.0,14.0,0,1
