,brand,price,processor,CPU,Ram,ROM,GPU,display_size,OS,warranty
755,2,38500,106.0,28,8,512,17.0,15.6,3,1
756,9,47990,17.0,19,8,512,14.0,15.6,0,2
757,2,44990,106.0,28,8,512,12.0,14.0,0,1
758,9,69990,,22,16,512,10.0,15.6,0,2
761,5,65990,66.0,1,16,512,43.0,15.6,0,1
762,2,58990,109.0,19,8,512,12.0,14.0,0,1
763,0,94990,46.0,1,16,512,4.0,15.6,0,1
764,0,86490,113.0,24,16,512,17.0,15.6,0,1
765,0,77490,109.0,19,16,512,17.0,15.6,0,1
766,0,85490,109.0,19,16,512,17.0,15.6,0,1
767,2,44000,43.0,15,8,512,59.0,15.6,0,1
768,0,51990,108.0,28,16,512,17.0,14.0,0,1
769,4,37990,14.0,17,8,1000,2.0,15.6,0,1
770,0,34990,105.0,28,8,512,17.0,14.0,0,1
771,2,57799,109.0,19,16,512,12.0,14.0,0,1
772,2,65990,31.0,1,8,512,2.0,15.6,0,1
773,2,53990,31.0,1,8,512,110.0,15.6,0,1
774,2,49990,83.0,19,8,512,14.0,15.6,0,1
775,9,171990,56.0,2,16,1000,28.0,15.6,0,2
776,0,44990,44.0,18,8,512,2.0,14.0,0,1
777,0,115990,53.0,1,16,1000,61.0,15.6,0,1
778,0,50990,108.0,28,16,512,17.0,14.0,0,1
779,0,109990,53.0,1,16,512,61.0,15.6,0,1
780,1,29990,73.0,28,8,256,12.0,14.0,0,1
781,5,163999,121.0,24,16,1000,6.0,14.0,0,1
782,5,58990,,19,8,1000,13.0,15.6,0,1
783,4,83990,53.0,1,16,512,3.0,14.0,0,1
784,4,43890,86.0,19,8,512,27.0,15.6,0,1
785,27,79999,114.0,24,32,2000,111.0,16.0,0,1
786,2,35490,14.0,17,8,512,3.0,15.6,0,1
787,0,137890,102.0,24,32,1000,112.0,15.6,0,1
788,4,94990,36.0,1,16,512,3.0,14.0,0,1
789,2,67990,33.0,22,16,512,10.0,15.6,0,1
790,0,46990,108.0,28,8,512,17.0,14.0,0,1
791,5,94990,38.0,2,16,512,90.0,16.0,0,1
792,9,83500,,19,8,512,14.0,17.3,5,1
793,9,91990,33.0,22,16,512,6.0,15.6,0,2
794,9,111990,38.0,2,16,512,28.0,15.6,0,2
795,0,67990,31.0,1,16,512,3.0,15.6,0,1
796,2,67999,31.0,1,8,512,7.0,14.0,3,1
797,2,46200,28.0,18,8,512,113.0,14.0,3,1
798,4,52998,28.0,18,8,512,113.0,16.0,11,1
799,4,45499,86.0,19,8,512,12.0,15.6,0,1
800,2,49999,28.0,18,8,512,113.0,14.0,0,1
801,1,29980,154.0,25,8,256,2.0,15.6,0,1
802,4,57290,123.0,19,8,512,12.0,16.0,0,1
803,0,58990,22.0,28,8,512,4.0,14.0,0,1
804,28,199990,127.0,24,32,1000,28.0,14.0,0,1
805,9,79990,114.0,24,16,512,25.0,15.6,0,2
806,9,78990,110.0,19,16,512,25.0,15.6,0,2
807,1,51990,46.0,1,8,512,3.0,14.0,0,1
808,9,104990,114.0,24,16,1000,114.0,17.3,0,1
809,9,104990,112.0,24,16,1000,114.0,15.6,0,1
810,1,39990,16.0,28,8,512,3.0,14.0,0,1
811,9,59990,24.0,24,16,512,13.0,15.6,0,2
813,5,47890,31.0,1,8,512,43.0,15.6,0,1
814,9,85490,110.0,19,16,512,115.0,15.6,0,1
815,9,94990,112.0,24,16,1000,115.0,15.6,0,1
816,9,95490,114.0,24,16,1000,115.0,17.3,0,1
817,0,54999,28.0,18,8,512,12.0,15.6,0,1
818,2,159000,37.0,6,16,512,3.0,14.0,0,1
819,4,80610,32.0,6,16,512,116.0,16.0,11,1
820,9,77990,32.0,6,8,512,4.0,13.3,0,2
821,4,303490,59.0,8,32,1000,28.0,17.0,0,1
822,4,201990,54.0,6,32,1000,3.0,13.4,0,1
823,4,278290,59.0,8,32,1000,105.0,15.6,0,1
824,2,286200,62.0,14,32,1000,92.0,16.0,0,1
825,2,157544,,6,16,1000,117.0,16.0,0,1
826,2,140990,116.0,24,16,1000,117.0,16.0,0,1
827,2,133000,36.0,1,16,512,3.0,14.0,0,1
828,2,72500,31.0,1,8,512,3.0,14.0,3,1
829,26,127000,47.0,6,8,512,3.0,14.0,0,1
830,26,146990,54.0,6,16,1000,118.0,17.0,0,1
831,26,142990,54.0,6,16,1000,118.0,16.0,0,1
832,26,205000,47.0,6,8,256,,16.0,0,1
833,26,89799,113.0,24,16,512,109.0,16.0,0,1
834,2,63999,31.0,1,16,1000,59.0,14.0,0,1
835,4,43490,82.0,19,8,512,50.0,15.6,0,1
836,29,12990,149.0,16,4,128,9.0,14.1,0,1
837,29,15990,149.0,16,4,256,9.0,15.6,0,1
838,9,36990,28.0,18,16,512,8.0,14.0,0,1
839,5,63990,33.0,22,16,512,13.0,14.0,0,1
840,2,45990,31.0,1,8,512,59.0,14.0,0,1
841,2,34990,86.0,19,8,512,17.0,15.6,3,1
842,2,41490,86.0,19,8,512,17.0,15.6,0,1
843,5,64990,95.0,24,16,512,13.0,15.6,0,1
844,0,57990,,19,8,512,,16.1,0,1
845,1,54990,33.0,22,16,512,14.0,15.6,0,1
846,4,208990,56.0,2,16,1000,119.0,14.0,0,1
847,5,91560,51.0,6,16,1000,4.0,15.6,0,1
848,2,74000,20.0,28,16,512,3.0,14.0,0,3
849,2,51999,31.0,1,8,512,8.0,15.6,0,1
850,2,31990,105.0,28,8,512,12.0,15.6,0,1
851,2,32490,14.0,17,8,256,8.0,15.6,0,1
852,2,74888,155.0,28,16,512,104.0,15.6,0,1
853,0,66500,,19,8,512,14.0,16.1,0,1
854,4,156799,57.0,7,16,1000,28.0,16.0,0,1
855,4,166899,57.0,7,32,1000,28.0,16.0,0,1
856,4,89990,53.0,1,16,512,3.0,14.0,0,1
857,0,171499,,10,16,1000,28.0,17.3,0,1
858,0,29999,158.0,27,8,512,2.0,14.0,0,1
859,2,35998,14.0,17,8,512,8.0,15.6,0,2
860,4,44989,43.0,15,8,512,8.0,15.6,0,1
861,1,34990,28.0,18,8,512,,15.6,0,1
862,10,48990,26.0,28,16,512,4.0,14.0,0,1
863,4,72990,46.0,1,8,512,3.0,14.0,0,1
864,4,71570,46.0,1,16,512,3.0,14.0,0,1
865,0,74990,95.0,24,16,512,10.0,15.6,0,1
866,5,25990,152.0,16,8,256,120.0,15.6,0,1
867,0,46490,97.0,24,8,512,50.0,14.0,3,1
868,4,64590,46.0,1,8,512,3.0,14.0,0,1
869,4,63990,46.0,1,8,512,8.0,15.6,0,1
870,9,247999,61.0,8,32,1000,19.0,17.0,0,3
871,4,93990,46.0,1,8,512,3.0,16.0,0,1
872,0,51990,87.0,19,8,512,,15.6,0,1
873,5,47990,109.0,19,8,512,17.0,16.0,0,1
874,2,34390,28.0,18,8,512,8.0,14.0,3,1
875,1,50990,33.0,22,8,512,14.0,15.6,0,1
876,0,28490,150.0,16,8,512,9.0,15.0,11,1
877,9,79990,38.0,2,8,512,25.0,15.6,0,2
878,9,79990,33.0,22,16,1000,25.0,15.6,0,2
879,1,29990,73.0,28,8,512,27.0,14.0,0,1
880,0,59990,87.0,19,8,512,10.0,15.6,0,1
881,1,107399,118.0,24,16,1000,17.0,16.0,0,1
882,4,129199,57.0,7,16,512,28.0,15.6,0,1
883,4,119990,57.0,7,16,512,6.0,15.6,0,1
884,4,187490,,14,16,1000,28.0,16.0,0,1
885,4,125699,57.0,7,16,512,6.0,15.6,0,1
886,1,49990,44.0,18,16,512,8.0,14.0,7,1
887,1,56990,46.0,1,16,512,4.0,15.6,0,1
888,5,44990,65.0,18,8,512,59.0,15.6,0,1
889,5,110000,102.0,24,16,1000,70.0,15.6,11,1
890,5,189990,121.0,24,32,1000,28.0,14.0,0,1
891,5,129990,59.0,8,16,512,6.0,15.6,0,1
892,5,131990,121.0,24,16,1000,6.0,15.6,0,1
