,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
373,0,37990,17,8,512,15.6,0,1,1,2
374,0,34999,17,8,512,14.0,0,1,7,2
375,3,290990,5,32,1000,14.2,1,1,74,102
376,3,234990,5,16,1000,14.2,1,1,75,103
377,0,82799,6,16,512,14.0,0,1,3,6
378,4,31790,28,8,256,14.0,0,1,16,104
379,2,60990,24,8,512,15.6,0,1,9,17
380,9,86990,22,16,1000,15.6,0,1,28,13
381,4,52990,28,16,512,14.0,0,1,23,29
382,4,38990,19,8,512,14.0,0,1,11,18
383,5,52558,28,16,512,15.6,0,1,16,96
384,5,31990,17,8,512,14.0,0,1,31,2
385,0,34499,28,8,512,15.6,0,1,16,10
386,5,94490,6,16,512,14.0,0,1,2,25
387,0,33800,17,8,512,15.6,0,1,8,100
388,6,74390,1,16,512,15.6,0,1,2,63
389,5,104490,6,16,512,14.0,0,1,76,25
390,5,105739,8,16,1000,15.6,0,1,3,12
391,2,45500,18,8,512,15.6,0,1,1,1
392,5,50760,28,16,512,15.6,0,1,16,96
393,5,49990,28,16,512,14.0,0,1,16,96
394,5,33199,28,8,512,14.0,0,1,16,10
395,5,70990,24,16,512,15.6,0,1,9,72
396,1,64990,19,8,512,15.6,0,1,9,45
397,5,59990,19,16,512,16.0,0,1,16,76
398,5,88990,24,16,512,14.0,0,1,16,34
399,5,44990,28,8,512,15.6,0,1,16,96
400,0,77990,24,16,1000,13.3,0,1,16,67
401,5,70990,24,16,512,16.0,0,1,16,34
402,2,55990,19,8,512,15.6,0,1,13,0
403,21,43999,28,16,512,15.6,0,1,1,33
404,1,37990,28,8,512,15.6,0,1,47,96
405,0,64990,19,16,512,15.6,0,1,9,0
406,2,32990,28,8,512,15.6,0,1,11,105
407,6,179490,6,16,1000,16.0,0,1,2,39
408,10,56990,6,16,512,15.6,7,1,3,6
409,0,56990,19,8,512,16.1,0,1,13,11
410,5,34990,17,8,512,15.6,0,1,1,92
411,0,83249,6,16,512,14.0,0,1,3,6
412,4,57990,1,16,512,14.0,0,1,1,35
413,0,85490,4,16,512,13.4,0,1,3,106
414,4,55890,1,8,512,15.6,0,1,2,35
415,5,40689,1,8,512,15.6,0,1,1,53
416,1,48990,1,16,512,15.6,0,1,73,35
417,0,66648,1,16,512,14.0,0,1,8,35
418,1,36990,18,8,512,15.6,0,1,7,1
419,22,74990,6,16,512,15.6,0,2,77,6
420,2,144990,8,32,1000,16.0,0,1,78,31
421,4,118499,28,16,512,14.0,4,3,2,107
422,2,35490,19,8,512,15.6,0,1,11,18
423,2,62889,24,16,512,14.0,0,1,51,108
424,2,63999,19,8,512,15.6,0,1,13,56
425,12,41990,19,8,512,14.0,0,1,51,50
426,5,49990,1,8,512,14.0,0,1,7,53
427,5,54990,1,8,512,14.0,0,1,7,35
428,2,119990,8,16,512,16.0,0,1,77,31
429,9,85990,8,16,512,16.0,0,2,30,31
430,9,85590,8,16,1000,16.0,0,2,79,31
431,2,31990,28,8,512,15.6,0,1,11,30
432,5,55800,19,16,512,14.0,0,1,11,56
433,14,72422,23,16,512,14.0,0,1,1,109
434,1,31500,17,8,512,15.6,0,1,7,2
435,5,37990,17,8,512,14.0,0,1,31,2
436,0,63490,19,8,512,15.6,0,1,9,64
